riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs682112-A	3E-14	-	NR	-	-	-	NAV1,IPO9-AS1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	1:201777640	38494474	"Thériault S"
rs771264-C	5E-8	-	NR	-	-	-	RNF144A	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	2:6988993	38494474	"Thériault S"
rs62139061-C	4E-10	-	NR	-	-	-	ACTR2,SPRED2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	2:65271671	38494474	"Thériault S"
rs72854462-A	2E-22	-	NR	-	-	-	TEX41	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	2:144962572	38494474	"Thériault S"
rs111825950-T	1E-10	-	NR	-	-	-	ARHGEF26-AS1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	3:154030503	38494474	"Thériault S"
rs11330858-A	1E-9	-	NR	-	-	-	MECOM	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	3:169484791	38494474	"Thériault S"
rs1706003-G	3E-11	-	NR	-	-	-	RPL23AP93,TMEM44-AS1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	3:194579238	38494474	"Thériault S"
rs3103933-A	6E-9	-	NR	-	-	-	MUC4	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	3:195758569	38494474	"Thériault S"
rs147558377-G	2E-8	-	NR	-	-	-	PDGFRA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	4:54247456	38494474	"Thériault S"
rs182432302-T	2E-8	-	NR	-	-	-	HCN1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	5:45560879	38494474	"Thériault S"
rs1965668-G	2E-8	-	NR	-	-	-	RPL7AP33	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	5:173226398	38494474	"Thériault S"
rs10455872-G	3E-61	-	NR	-	-	-	LPA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	6:160589086	38494474	"Thériault S"
rs7804522-C	2E-8	-	NR	-	-	-	FERD3L,POLR1F	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	7:19418435	38494474	"Thériault S"
rs1800797-A	1E-19	-	NR	-	-	-	IL6,STEAP1B,IL6-AS1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	7:22726602	38494474	"Thériault S"
rs2286427-T	5E-8	-	NR	-	-	-	SSC4D	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	7:76395203	38494474	"Thériault S"
rs11570891-C	7E-9	-	NR	-	-	-	LPL	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	8:19965299	38494474	"Thériault S"
rs17810852-G	1E-8	-	NR	-	-	-	MYMK,SLC2A6	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	9:133499953	38494474	"Thériault S"
rs187229435-C	2E-9	-	NR	-	-	-	RPLP2,PIDD1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	11:805953	38494474	"Thériault S"
rs174551-T	3E-10	-	NR	-	-	-	FADS1,FADS2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	11:61806212	38494474	"Thériault S"
rs12270146-G	8E-10	-	NR	-	-	-	LINC02956,MYEOV	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	11:69348673	38494474	"Thériault S"
rs10770612-A	7E-13	-	NR	-	-	-	LINC02468,TCP1P3	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	12:20077705	38494474	"Thériault S"
rs17766960-G	2E-9	-	NR	-	-	-	HMGA2,MIR6074	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	12:66013637	38494474	"Thériault S"
rs10455872-G	3E-51	-	0.07	1.42	-	[1.36-1.49]	LPA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	6:160589086	36802703	"Small AM"
rs11166276-T	2E-24	-	0.49	1.15	-	[1.12-1.18]	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	1:99579683	36802703	"Small AM"
rs2246363-A	4E-11	-	0.75	1.11	-	[1.08-1.15]	TEX41	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	2:145025715	36802703	"Small AM"
rs1522388-T	3E-8	-	0.56	1.08	-	[1.05-1.11]	FLNB,PPIAP16	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	3:57960041	36802703	"Small AM"
rs13311155-A	5E-12	-	0.41	1.1	-	[1.07-1.13]	TOMM7,MTCYBP42	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271563	7:22750170	36802703	"Small AM"
rs10455872-G	3E-49	-	NR	1.42	-	[1.35-1.48]	LPA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	6:160589086	36802703	"Small AM"
rs7543130-A	6E-24	-	NR	1.14	-	[1.11-1.17]	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	1:99584229	36802703	"Small AM"
rs1474347-C	7E-14	-	NR	1.1	-	[1.07-1.13]	IL6	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	7:22728505	36802703	"Small AM"
rs1522387-A	1E-8	-	NR	1.08	-	[1.05-1.1]	FLNB,PPIAP16	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	3:57960369	36802703	"Small AM"
rs2246363-A	1E-10	-	NR	1.11	-	[1.08-1.14]	TEX41	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90271566	2:145025715	36802703	"Small AM"
rs12429277-A	2E-8	-	NR	-	-	-	SMAD9	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	13:36871807	38494474	"Thériault S"
rs28744617-A	2E-8	-	NR	-	-	-	STARD9	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	15:42688824	38494474	"Thériault S"
rs4646642-A	4E-9	-	NR	-	-	-	ALDH1A2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	15:57954718	38494474	"Thériault S"
rs2869553-G	3E-8	-	NR	-	-	-	CHRNB4	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	15:78720271	38494474	"Thériault S"
rs150429885-CT	2E-9	-	NR	-	-	-	TMEM170A	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	16:75464355	38494474	"Thériault S"
rs6511720-G	3E-8	-	NR	-	-	-	LDLR	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	19:11091630	38494474	"Thériault S"
rs61736786-T	4E-8	-	NR	-	-	-	ASCC2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	22:29793653	38494474	"Thériault S"
rs7190256-?	3E-11	-	NR	-	-	-	ZFHX3	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	16:72963084	27790247	"He L"
rs8082812-?	5E-67	-	NR	-	-	-	THEMIS3P,AKR1B1P6	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	18:8522684	27790247	"He L"
rs10401969-?	4E-11	-	NR	-	-	-	SUGP1	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	19:19296909	27790247	"He L"
rs4420638-?	1E-22	-	NR	-	-	-	APOC1,APOC1P1	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	19:44919689	27790247	"He L"
rs4803750-?	1E-13	-	NR	-	-	-	CEACAM16-AS1,BCL3	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	19:44744370	27790247	"He L"
rs629301-?	1E-49	-	NR	-	-	-	CELSR2	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	1:109275684	27790247	"He L"
rs16867253-?	3E-6	-	NR	-	-	-	GRHL1	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	2:9956965	27790247	"He L"
rs562338-?	5E-21	-	NR	-	-	-	APOB,TDRD15	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	2:21065449	27790247	"He L"
rs478442-?	4E-16	-	NR	-	-	-	TDRD15,NUTF2P8	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	2:21176344	27790247	"He L"
rs6759518-?	8E-10	-	NR	-	-	-	SLC30A3	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	2:27263727	27790247	"He L"
rs1728918-?	1E-31	-	NR	-	-	-	NRBP1,PPM1G	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	2:27412596	27790247	"He L"
rs780094-?	4E-91	-	NR	-	-	-	GCKR	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	2:27518370	27790247	"He L"
rs222826-?	8E-7	-	NR	-	-	-	METAP2P1,RNU7-2P	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	2:146120964	27790247	"He L"
rs940274-?	4E-6	-	NR	-	-	-	ABCA12	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	2:215086907	27790247	"He L"
rs7632505-?	7E-19	-	NR	-	-	-	SEMA5B	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	3:123019460	27790247	"He L"
rs13114738-?	8E-8	-	NR	-	-	-	SLC39A8	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	4:102363708	27790247	"He L"
rs6533530-?	1E-7	-	NR	-	-	-	LINC01438,MIR297	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	4:110810780	27790247	"He L"
rs1869717-?	5E-8	-	NR	-	-	-	MAML3	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	4:139829967	27790247	"He L"
rs7703051-?	9E-12	-	NR	-	-	-	ANKRD31,HMGCR	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	5:75329662	27790247	"He L"
rs4704221-?	2E-8	-	NR	-	-	-	CERT1	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	5:75463358	27790247	"He L"
rs5744680-?	3E-8	-	NR	-	-	-	POLK	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	5:75584065	27790247	"He L"
rs10057967-?	3E-6	-	NR	-	-	-	POC5	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	5:75701931	27790247	"He L"
rs17140821-?	5E-7	-	NR	-	-	-	FERD3L,POLR1F	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	7:19177581	27790247	"He L"
rs2074755-?	1E-17	-	NR	-	-	-	BAZ1B	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	7:73462836	27790247	"He L"
rs799165-?	9E-15	-	NR	-	-	-	VPS37D,MLXIPL	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	7:73637727	27790247	"He L"
rs174547-?	7E-25	-	NR	-	-	-	FADS1,FADS2	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	11:61803311	27790247	"He L"
rs964184-?	2E-108	-	NR	-	-	-	ZPR1	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	11:116778201	27790247	"He L"
rs7115242-?	1E-9	-	NR	-	-	-	SIK3	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	11:117037567	27790247	"He L"
rs12420422-?	2E-7	-	NR	-	-	-	BSX,SAE1P1	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	11:123009573	27790247	"He L"
rs12310617-?	2E-7	-	NR	-	-	-	TEAD4,RPL13AP24	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	12:3060327	27790247	"He L"
rs12579302-?	4E-7	-	NR	-	-	-	ATP2B1	"Age-related diseases, mortality and associated endophenotypes"	"total cholesterol measurement,hematocrit,stroke,ventricular rate measurement,body mass index,atrial fibrillation,high density lipoprotein cholesterol measurement,coronary artery disease,diastolic blood pressure,triglyceride measurement,systolic blood pressure,heart failure,diabetes mellitus,glucose measurement,mortality,cancer"	-	GCST004045	12:89656726	27790247	"He L"
